t	X1	Y1	X2	Y2
s	m	m	m	m
 0,00000000	 0,00000000	-0,00075472	 0,02113208	-0,00679245
 0,00507601	 0,00000000	-0,00075472	 0,02150943	-0,00830189
 0,01015203	 0,00000000	-0,00113208	 0,02113208	-0,00981132
 0,01522804	 0,00000000	-0,00075472	 0,02094340	-0,01113207
 0,02030405	 0,00000000	-0,00075472	 0,02075472	-0,01245283
 0,02538007	 0,00000000	-0,00075472	 0,02075472	-0,01358491
 0,03045608	 0,00037736	-0,00075472	 0,02150943	-0,01396226
 0,03553209	 0,00000000	-0,00075472	 0,02226415	-0,01358491
 0,04060811	 0,00037736	-0,00075472	 0,02452830	-0,01396226
 0,04568412	 0,00000000	-0,00075472	 0,02641509	-0,01471698
 0,05076014	 0,00000000	-0,00075472	 0,02679245	-0,01471698
 0,05583614	 0,00000000	-0,00075472	 0,02679245	-0,01433962
 0,06091216	 0,00037736	-0,00075472	 0,02830189	-0,01320755
 0,06598818	 0,00037736	-0,00075472	 0,02716981	-0,01283019
 0,07106419	 0,00037736	-0,00075472	 0,02679245	-0,01207547
 0,07614020	 0,00000000	-0,00075472	 0,02603774	-0,01132075
 0,08121622	 0,00000000	-0,00075472	 0,02490566	-0,01056604
 0,08629223	 0,00000000	-0,00075472	 0,02452830	-0,01018868
 0,09136824	 0,00000000	-0,00075472	 0,02490566	-0,01056604
 0,09644426	 0,00000000	-0,00075472	 0,02603774	-0,01132075
 0,10152027	 0,00000000	-0,00075472	 0,02641509	-0,01169811
 0,10659628	 0,00000000	-0,00075472	 0,02603774	-0,01169811
 0,11167229	 0,00037736	-0,00075472	 0,02641509	-0,01169811
 0,11674830	 0,00000000	-0,00075472	 0,02679245	-0,01169811
 0,12182432	 0,00000000	-0,00075472	 0,02641509	-0,01132075
 0,12690033	 0,00000000	-0,00113208	 0,02603774	-0,01094340
 0,13197635	 0,00000000	-0,00075472	 0,02641509	-0,01132075
 0,13705236	 0,00000000	-0,00075472	 0,02641509	-0,01132075
 0,14212838	 0,00000000	-0,00075472	 0,02603774	-0,01132075
 0,14720438	 0,00000000	-0,00075472	 0,02641509	-0,01132075
 0,15228041	 0,00000000	-0,00075472	 0,02641509	-0,01169811
 0,15735641	 0,00000000	-0,00113208	 0,02566038	-0,01207547
 0,16243243	 0,00000000	-0,00075472	 0,02490566	-0,01207547
 0,16750844	 0,00000000	-0,00113208	 0,02377358	-0,01207547
 0,17258446	 0,00000000	-0,00113208	 0,02301887	-0,01245283
 0,17766047	 0,00000000	-0,00075472	 0,02301887	-0,01207547
 0,18273649	 0,00000000	-0,00113208	 0,02226415	-0,01169811
 0,18781249	 0,00000000	-0,00113208	 0,02226415	-0,01132075
 0,19288851	 0,00000000	-0,00075472	 0,02113208	-0,01056604
 0,19796452	 0,00000000	-0,00113208	 0,02075472	-0,00981132
 0,20304054	 0,00000000	-0,00113208	 0,02037736	-0,00981132
 0,20811655	 0,00000000	-0,00113208	 0,02037736	-0,00981132
 0,21319257	 0,00000000	-0,00113208	 0,02037736	-0,01018868
 0,21826857	 0,00000000	-0,00113208	 0,02113208	-0,01056604
 0,22334458	 0,00000000	-0,00113208	 0,02188679	-0,01056604
 0,22842060	 0,00000000	-0,00150943	 0,02226415	-0,01056604
 0,23349661	 0,00000000	-0,00113208	 0,02301887	-0,01056604
 0,23857263	 0,00000000	-0,00150943	 0,02339623	-0,01056604
 0,24364863	 0,00000000	-0,00113208	 0,02339623	-0,01094340
 0,24872465	 0,00000000	-0,00150943	 0,02377358	-0,01132075
 0,25380066	 0,00000000	-0,00113208	 0,02377358	-0,01132075
 0,25887668	 0,00000000	-0,00113208	 0,02377358	-0,01132075
