t	X1	Y1	X2	Y2
s	m	m	m	m
 0.00000000	 0.00000000	-0.00055556	 0.03703704	-0.00351852
 0.00507601	 0.00000000	-0.00055556	 0.03740741	-0.00351852
 0.01015203	 0.00000000	-0.00018519	 0.03740741	-0.00351852
 0.01522804	 0.00000000	-0.00055556	 0.03703704	-0.00314815
 0.02030405	 0.00000000	-0.00055556	 0.03703704	-0.00351852
 0.02538007	 0.00000000	-0.00018519	 0.03703704	-0.00351852
 0.03045608	 0.00000000	-0.00055556	 0.03740741	-0.00351852
 0.03553209	 0.00000000	-0.00018519	 0.03703704	-0.00351852
 0.04060811	 0.00000000	-0.00055556	 0.03740741	-0.00351852
 0.04568412	 0.00000000	-0.00018519	 0.03740741	-0.00351852
 0.05076014	 0.00000000	-0.00055556	 0.03740741	-0.00351852
 0.05583614	 0.00000000	-0.00055556	 0.03740741	-0.00351852
 0.06091216	 0.00000000	-0.00055556	 0.03740741	-0.00351852
 0.06598818	 0.00000000	-0.00055556	 0.03740741	-0.00351852
 0.07106419	 0.00000000	-0.00055556	 0.03777778	-0.00351852
 0.07614020	 0.00000000	-0.00018519	 0.03777778	-0.00351852
 0.08121622	 0.00037037	-0.00055556	 0.03777778	-0.00351852
 0.08629223	 0.00037037	-0.00055556	 0.03740741	-0.00351852
 0.09136824	 0.00037037	-0.00018519	 0.03740741	-0.00351852
 0.09644426	 0.00037037	-0.00018519	 0.03777778	-0.00351852
 0.10152027	 0.00037037	-0.00018519	 0.03777778	-0.00351852
 0.10659628	 0.00037037	-0.00018519	 0.03740741	-0.00351852
 0.11167229	 0.00037037	-0.00018519	 0.03703704	-0.00351852
 0.11674830	 0.00037037	-0.00018519	 0.03777778	-0.00351852
 0.12182432	 0.00074074	-0.00018519	 0.03777778	-0.00351852
 0.12690033	 0.00037037	-0.00018519	 0.03777778	-0.00351852
 0.13197635	 0.00074074	-0.00018519	 0.03740741	-0.00351852
 0.13705236	 0.00074074	 0.00018519	 0.03740741	-0.00351852
 0.14212838	 0.00074074	 0.00018519	 0.03777778	-0.00351852
 0.14720438	 0.00074074	 0.00018519	 0.03777778	-0.00351852
 0.15228041	 0.00074074	 0.00092593	 0.03777778	-0.00351852
 0.15735641	 0.00111111	 0.00018519	 0.03703704	-0.00351852
 0.16243243	 0.00111111	 0.00129630	 0.03703704	-0.00351852
 0.16750844	 0.00111111	 0.00129630	 0.03740741	-0.00351852
 0.17258446	 0.00111111	 0.00129630	 0.03777778	-0.00351852
 0.17766047	 0.00148148	 0.00129630	 0.03740741	-0.00351852
 0.18273649	 0.00148148	 0.00166667	 0.03703704	-0.00351852
 0.18781249	 0.00185185	 0.00166667	 0.03740741	-0.00351852
 0.19288851	 0.00185185	 0.00166667	 0.03777778	-0.00351852
 0.19796452	 0.00222222	 0.00203704	 0.03777778	-0.00351852
 0.20304054	 0.00222222	 0.00240741	 0.03777778	-0.00351852
 0.20811655	 0.00222222	 0.00277778	 0.03740741	-0.00351852
 0.21319257	 0.00259259	 0.00277778	 0.03777778	-0.00351852
 0.21826857	 0.00259259	 0.00277778	 0.03777778	-0.00351852
 0.22334458	 0.00296296	 0.00314815	 0.03777778	-0.00351852
 0.22842060	 0.00333333	 0.00351852	 0.03777778	-0.00351852
 0.23349661	 0.00370370	 0.00388889	 0.03777778	-0.00351852
 0.23857263	 0.00407407	 0.00425926	 0.03777778	-0.00351852
 0.24364863	 0.00407407	 0.00425926	 0.03777778	-0.00351852
 0.24872465	 0.00444444	 0.00462963	 0.03777778	-0.00351852
 0.25380066	 0.00481481	 0.00500000	 0.03777778	-0.00351852
 0.25887668	 0.00518519	 0.00574074	 0.03777778	-0.00351852
 0.26395270	 0.00592593	 0.00574074	 0.03777778	-0.00351852
 0.26902869	 0.00629630	 0.00611111	 0.03777778	-0.00351852
 0.27410471	 0.00666667	 0.00685185	 0.03777778	-0.00351852
 0.27918074	 0.00740741	 0.00759259	 0.03777778	-0.00351852
 0.28425676	 0.00777778	 0.00796296	 0.03777778	-0.00351852
 0.28933275	 0.00851852	 0.00833333	 0.03777778	-0.00388889
 0.29440877	 0.00925926	 0.00907407	 0.03777778	-0.00351852
 0.29948479	 0.01000000	 0.00981481	 0.03777778	-0.00351852
 0.30456081	 0.01074074	 0.01018518	 0.03777778	-0.00351852
 0.30963680	 0.01148148	 0.01129630	 0.03777778	-0.00351852
 0.31471282	 0.01259259	 0.01203704	 0.03814815	-0.00351852
 0.31978884	 0.01333333	 0.01277778	 0.03814815	-0.00351852
 0.32486486	 0.01407407	 0.01351852	 0.03777778	-0.00351852
 0.32994086	 0.01518518	 0.01462963	 0.03777778	-0.00351852
 0.33501688	 0.01629630	 0.01574074	 0.03777778	-0.00351852
 0.34009290	 0.01740741	 0.01685185	 0.03851852	-0.00351852
 0.34516892	 0.01851852	 0.01759259	 0.03814815	-0.00351852
 0.35024491	 0.01962963	 0.01870370	 0.03777778	-0.00351852
 0.35532093	 0.02111111	 0.02018519	 0.03777778	-0.00351852
 0.36039695	 0.02222222	 0.02092593	 0.03777778	-0.00351852
 0.36547297	 0.02333333	 0.02203704	 0.03777778	-0.00351852
 0.37054896	 0.02481481	 0.02388889	 0.03777778	-0.00351852
 0.37562498	 0.02629630	 0.02500000	 0.03777778	-0.00351852
 0.38070101	 0.02740741	 0.02685185	 0.03777778	-0.00351852
 0.38577703	 0.02888889	 0.02796296	 0.03814815	-0.00351852
 0.39085302	 0.03000000	 0.02907407	 0.03777778	-0.00351852
 0.39592904	 0.03074074	 0.03092593	 0.03777778	-0.00351852
 0.40100506	 0.03222222	 0.03351852	 0.03814815	-0.00351852
 0.40608108	 0.03296296	 0.03500000	 0.03814815	-0.00351852
 0.41115707	 0.03370370	 0.03759259	 0.03888889	-0.00351852
 0.41623309	 0.03444444	 0.03944444	 0.03851852	-0.00351852
 0.42130911	 0.03481481	 0.04092593	 0.03814815	-0.00351852
 0.42638513	 0.03444444	 0.04388889	 0.03851852	-0.00351852
 0.43146113	 0.03444444	 0.04574074	 0.03888889	-0.00351852
 0.43653715	 0.03407407	 0.04944444	 0.03888889	-0.00351852
 0.44161317	 0.03259259	 0.05018518	 0.03888889	-0.00351852
 0.44668916	 0.03056195	 0.04853768	 0.03888889	-0.00351852
 0.45176518	 0.02853129	 0.04689017	 0.03888889	-0.00351852
 0.45684120	 0.02650064	 0.04524266	 0.03888889	-0.00351852
 0.46191722	 0.02446998	 0.04359515	 0.03888889	-0.00351852
 0.46699321	 0.02243934	 0.04194764	 0.03888889	-0.00351852
 0.47206923	 0.02040869	 0.04030013	 0.03888889	-0.00351852
 0.47714525	 0.01837803	 0.03865262	 0.03888889	-0.00351852
 0.48222128	 0.01634738	 0.03700511	 0.03888889	-0.00351852
 0.48729727	 0.01431674	 0.03535760	 0.03888889	-0.00351852
 0.49237329	 0.01228608	 0.03371009	 0.03888889	-0.00351852
 0.49744931	 0.01025543	 0.03206258	 0.03888889	-0.00351852
 0.50252533	 0.00822477	 0.03041507	 0.03888889	-0.00351852
 0.50760132	 0.00619413	 0.02876756	 0.03888889	-0.00351852
 0.51267737	 0.00416346	 0.02712004	 0.03888889	-0.00351852
 0.51775336	 0.00213282	 0.02547254	 0.03888889	-0.00314815
 0.52282935	 0.00010218	 0.02382504	 0.03851852	-0.00314815
 0.52790540	-0.00192849	 0.02217752	 0.03851852	-0.00314815
 0.53298140	-0.00395913	 0.02053001	 0.03888889	-0.00351852
 0.53805739	-0.00598977	 0.01888251	 0.03888889	-0.00351852
 0.54313344	-0.00802044	 0.01723499	 0.03888889	-0.00351852
 0.54820943	-0.01005108	 0.01558749	 0.03888889	-0.00351852
 0.55328548	-0.01208175	 0.01393996	 0.03888889	-0.00351852
 0.55836147	-0.01411239	 0.01229246	 0.03888889	-0.00351852
 0.56343746	-0.01614303	 0.01064496	 0.03888889	-0.00351852
 0.56851351	-0.01817370	 0.00899744	 0.03888889	-0.00351852
 0.57358950	-0.02020434	 0.00734993	 0.03888889	-0.00351852
 0.57866549	-0.02223499	 0.00570243	 0.03888889	-0.00351852
 0.58374155	-0.02426565	 0.00405491	 0.03888889	-0.00351852
