t	X1	Y1
s	m	m
 0,00000000	-0,00101695	-0,00084746
 0,00507702	-0,00101695	-0,00084746
 0,01015404	-0,00101695	-0,00084746
 0,01523106	-0,00101695	-0,00084746
 0,02030807	-0,00101695	-0,00084746
 0,02538509	-0,00101695	-0,00084746
 0,03046211	-0,00101695	-0,00084746
 0,03553913	-0,00101695	-0,00084746
 0,04061615	-0,00101695	-0,00118644
 0,04569317	-0,00101695	-0,00118644
 0,05077019	-0,00101695	-0,00118644
 0,05584721	-0,00101695	-0,00118644
 0,06092422	-0,00101695	-0,00118644
 0,06600124	-0,00101695	-0,00118644
 0,07107826	-0,00101695	-0,00118644
 0,07615528	-0,00101695	-0,00084746
 0,08123229	-0,00101695	-0,00118644
 0,08630931	-0,00067797	-0,00118644
 0,09138633	-0,00067797	-0,00118644
 0,09646335	-0,00067797	-0,00118644
 0,10154037	-0,00067797	-0,00118644
 0,10661739	-0,00067797	-0,00152542
 0,11169441	-0,00067797	-0,00152542
 0,11677142	-0,00067797	-0,00152542
 0,12184844	-0,00067797	-0,00152542
 0,12692547	-0,00067797	-0,00152542
 0,13200249	-0,00067797	-0,00152542
 0,13707949	-0,00067797	-0,00186441
 0,14215651	-0,00067797	-0,00186441
 0,14723353	-0,00067797	-0,00186441
 0,15231055	-0,00067797	-0,00186441
 0,15738757	-0,00067797	-0,00220339
 0,16246459	-0,00067797	-0,00220339
 0,16754161	-0,00067797	-0,00220339
 0,17261863	-0,00067797	-0,00254237
 0,17769565	-0,00067797	-0,00254237
 0,18277267	-0,00067797	-0,00254237
 0,18784969	-0,00067797	-0,00220339
 0,19292670	-0,00067797	-0,00254237
 0,19800372	-0,00067797	-0,00220339
 0,20308074	-0,00067797	-0,00254237
 0,20815776	-0,00067797	-0,00254237
 0,21323478	-0,00067797	-0,00220339
 0,21831180	-0,00067797	-0,00220339
 0,22338882	-0,00067797	-0,00220339
 0,22846583	-0,00067797	-0,00186441
 0,23354284	-0,00067797	-0,00186441
 0,23861986	-0,00067797	-0,00186441
 0,24369688	-0,00067797	-0,00186441
 0,24877390	-0,00067797	-0,00186441
 0,25385094	-0,00067797	-0,00186441
 0,25892794	-0,00067797	-0,00186441
 0,26400498	-0,00067797	-0,00152542
 0,26908198	-0,00067797	-0,00186441
 0,27415898	-0,00067797	-0,00186441
 0,27923602	-0,00067797	-0,00186441
 0,28431302	-0,00067797	-0,00186441
 0,28939006	-0,00067797	-0,00186441
 0,29446706	-0,00067797	-0,00186441
 0,29954410	-0,00067797	-0,00220339
 0,30462110	-0,00067797	-0,00220339
 0,30969813	-0,00067797	-0,00220339
 0,31477514	-0,00067797	-0,00220339
 0,31985217	-0,00067797	-0,00186441
 0,32492918	-0,00067797	-0,00186441
 0,33000621	-0,00067797	-0,00186441
