t	X1	Y1	X2	Y2
s	m	m	m	m
 0,00000000	 0,00037383	-0,00056075	 0,04373832	-0,00579439
 0,00507601	 0,00037383	-0,00056075	 0,04373832	-0,00579439
 0,01015203	 0,00037383	-0,00056075	 0,04373832	-0,00579439
 0,01522804	 0,00037383	-0,00056075	 0,04373832	-0,00579439
 0,02030405	 0,00037383	-0,00018692	 0,04373832	-0,00542056
 0,02538007	 0,00037383	-0,00018692	 0,04373832	-0,00542056
 0,03045608	 0,00037383	-0,00018692	 0,04373832	-0,00579439
 0,03553209	 0,00037383	-0,00018692	 0,04373832	-0,00542056
 0,04060811	 0,00037383	-0,00018692	 0,04373832	-0,00542056
 0,04568412	 0,00037383	-0,00018692	 0,04373832	-0,00579439
 0,05076014	 0,00037383	-0,00018692	 0,04411215	-0,00579439
 0,05583614	 0,00037383	-0,00018692	 0,04373832	-0,00579439
 0,06091216	 0,00037383	-0,00018692	 0,04411215	-0,00579439
 0,06598818	 0,00037383	-0,00018692	 0,04411215	-0,00579439
 0,07106419	 0,00037383	-0,00018692	 0,04373832	-0,00579439
 0,07614020	 0,00037383	-0,00018692	 0,04411215	-0,00579439
 0,08121622	 0,00037383	-0,00018692	 0,04373832	-0,00579439
 0,08629223	 0,00074766	-0,00018692	 0,04373832	-0,00542056
 0,09136824	 0,00037383	 0,00018692	 0,04373832	-0,00542056
 0,09644426	 0,00074766	 0,00018692	 0,04373832	-0,00542056
 0,10152027	 0,00074766	 0,00018692	 0,04373832	-0,00542056
 0,10659628	 0,00074766	 0,00018692	 0,04373832	-0,00542056
 0,11167229	 0,00112150	 0,00018692	 0,04373832	-0,00542056
 0,11674830	 0,00112150	 0,00018692	 0,04373832	-0,00542056
 0,12182432	 0,00112150	 0,00018692	 0,04373832	-0,00542056
 0,12690033	 0,00112150	 0,00018692	 0,04373832	-0,00542056
 0,13197635	 0,00112150	 0,00018692	 0,04373832	-0,00542056
 0,13705236	 0,00112150	 0,00018692	 0,04411215	-0,00579439
 0,14212838	 0,00112150	 0,00056075	 0,04373832	-0,00542056
 0,14720438	 0,00112150	 0,00056075	 0,04411215	-0,00542056
 0,15228041	 0,00112150	 0,00056075	 0,04411215	-0,00579439
 0,15735641	 0,00112150	 0,00056075	 0,04411215	-0,00542056
 0,16243243	 0,00149533	 0,00056075	 0,04411215	-0,00542056
 0,16750844	 0,00149533	 0,00056075	 0,04411215	-0,00542056
 0,17258446	 0,00149533	 0,00093458	 0,04411215	-0,00579439
 0,17766047	 0,00186916	 0,00093458	 0,04411215	-0,00542056
 0,18273649	 0,00186916	 0,00093458	 0,04373832	-0,00542056
 0,18781249	 0,00186916	 0,00093458	 0,04411215	-0,00542056
 0,19288851	 0,00224299	 0,00130841	 0,04411215	-0,00542056
 0,19796452	 0,00224299	 0,00130841	 0,04411215	-0,00542056
 0,20304054	 0,00261682	 0,00168224	 0,04411215	-0,00579439
 0,20811655	 0,00261682	 0,00168224	 0,04411215	-0,00542056
 0,21319257	 0,00299065	 0,00168224	 0,04411215	-0,00542056
 0,21826857	 0,00336449	 0,00242991	 0,04411215	-0,00579439
 0,22334458	 0,00336449	 0,00242991	 0,04411215	-0,00579439
 0,22842060	 0,00373832	 0,00242991	 0,04411215	-0,00579439
 0,23349661	 0,00411215	 0,00242991	 0,04411215	-0,00579439
 0,23857263	 0,00448598	 0,00280374	 0,04411215	-0,00579439
 0,24364863	 0,00448598	 0,00317757	 0,04411215	-0,00579439
 0,24872465	 0,00523364	 0,00355140	 0,04411215	-0,00579439
 0,25380066	 0,00560748	 0,00392523	 0,04411215	-0,00579439
 0,25887668	 0,00635514	 0,00392523	 0,04411215	-0,00579439
 0,26395270	 0,00672897	 0,00429907	 0,04411215	-0,00579439
 0,26902869	 0,00710280	 0,00467290	 0,04411215	-0,00579439
 0,27410471	 0,00785047	 0,00616822	 0,04411215	-0,00579439
 0,27918074	 0,00822430	 0,00654206	 0,04411215	-0,00579439
 0,28425676	 0,00934579	 0,00728972	 0,04411215	-0,00579439
 0,28933275	 0,01009346	 0,00766355	 0,04411215	-0,00579439
 0,29440877	 0,01084112	 0,00728972	 0,04411215	-0,00579439
 0,29948479	 0,01158878	 0,00766355	 0,04411215	-0,00579439
