Time	Channel A
(us)	(V)

-28.83199886	-0.10353100
-28.82999886	-0.10353100
-28.82799886	-0.10353100
-28.82599886	-0.10353100
-28.82399886	-0.10353100
-28.82199886	-0.10353100
-28.81999886	-0.10353100
-28.81799886	-0.10353100
-28.81599886	-0.10248520
-28.81399886	-0.10248520
-28.81199886	-0.10248520
-28.80999886	-0.10248520
-28.80799886	-0.10248520
-28.80599886	-0.10248520
-28.80399886	-0.10248520
-28.80199886	-0.10248520
-28.79999886	-0.10248520
-28.79799886	-0.10248520
-28.79599886	-0.10248520
-28.79399886	-0.10248520
-28.79199886	-0.10248520
-28.78999886	-0.10248520
-28.78799886	-0.10248520
-28.78599886	-0.10248520
-28.78399886	-0.10248520
-28.78199886	-0.10248520
-28.77999886	-0.10248520
-28.77799886	-0.10248520
-28.77599886	-0.10248520
-28.77399886	-0.10248520
-28.77199886	-0.10248520
-28.76999886	-0.10248520
-28.76799886	-0.10248520
-28.76599886	-0.10248520
-28.76399886	-0.10248520
-28.76199886	-0.10248520
-28.75999886	-0.10248520
-28.75799886	-0.10248520
-28.75599886	-0.10248520
-28.75399886	-0.10248520
-28.75199886	-0.10248520
-28.74999886	-0.10248520
-28.74799886	-0.10248520
-28.74599886	-0.10248520
-28.74399886	-0.10248520
-28.74199886	-0.10248520
-28.73999886	-0.10248520
-28.73799886	-0.10248520
-28.73599886	-0.10248520
-28.73399886	-0.10248520
-28.73199886	-0.10248520
-28.72999886	-0.10248520
-28.72799886	-0.10248520
-28.72599886	-0.10248520
-28.72399886	-0.10248520
-28.72199886	-0.10248520
-28.71999886	-0.10248520
-28.71799886	-0.10248520
-28.71599886	-0.10248520
-28.71399886	-0.10248520
-28.71199886	-0.10248520
-28.70999886	-0.10248520
-28.70799886	-0.10248520
-28.70599886	-0.10248520
-28.70399886	-0.10248520
-28.70199886	-0.10248520
-28.69999887	-0.10248520
-28.69799887	-0.10248520
-28.69599887	-0.10248520
-28.69399887	-0.10248520
-28.69199887	-0.10248520
-28.68999887	-0.10248520
-28.68799887	-0.10248520
-28.68599887	-0.10248520
-28.68399887	-0.10248520
-28.68199887	-0.10248520
-28.67999887	-0.10248520
-28.67799887	-0.10248520
-28.67599887	-0.10248520
-28.67399887	-0.10248520
-28.67199887	-0.10248520
-28.66999887	-0.10248520
-28.66799887	-0.10248520
-28.66599887	-0.10248520
-28.66399887	-0.10248520
-28.66199887	-0.10248520
-28.65999887	-0.10248520
-28.65799887	-0.10248520
