Time	Channel A
(us)	(V)

-29.59999896	0.40465060
-29.59799896	0.39720720
-29.59599896	0.39080950
-29.59399896	0.38330460
-29.59199896	0.37586120
-29.58999896	0.36946360
-29.58799896	0.36195870
-29.58599896	0.35556100
-29.58399896	0.34805610
-29.58199896	0.34165850
-29.57999896	0.33421500
-29.57799896	0.32671010
-29.57599896	0.32031250
-29.57399896	0.31280760
-29.57199896	0.30640990
-29.56999896	0.29896650
-29.56799896	0.29146160
-29.56599896	0.28401820
-29.56399896	0.27651330
-29.56199896	0.26906990
-29.55999896	0.26156500
-29.55799896	0.25412150
-29.55599896	0.24661660
-29.55399896	0.23917320
-29.55199896	0.23166830
-29.54999896	0.22422490
-29.54799896	0.21782730
-29.54599896	0.21032230
-29.54399896	0.20177160
-29.54199896	0.19432820
-29.53999896	0.18682330
-29.53799896	0.17937990
-29.53599896	0.17187500
-29.53399896	0.16443160
-29.53199896	0.15692670
-29.52999896	0.14948330
-29.52799896	0.14197840
-29.52599896	0.13447340
-29.52399896	0.12703000
-29.52199896	0.11952510
-29.51999896	0.11208170
-29.51799896	0.10457680
-29.51599896	0.09608760
-29.51399896	0.08858268
-29.51199896	0.08107775
-29.50999896	0.07363435
-29.50799896	0.06612943
-29.50599896	0.05868602
-29.50399896	0.05118110
-29.50199896	0.04373770
-29.49999896	0.03623278
-29.49799896	0.02878937
-29.49599896	0.02134596
-29.49399896	0.01384104
-29.49199896	0.00744341
-29.48999896	0.00000000
-29.48799896	-0.00639764
-29.48599896	-0.01279528
-29.48399896	-0.01919291
-29.48199896	-0.02559055
-29.47999896	-0.03094242
-29.47799896	-0.03629429
-29.47599896	-0.04269193
-29.47399896	-0.04798228
-29.47199896	-0.05333415
-29.46999896	-0.05764025
-29.46799896	-0.06188484
-29.46599896	-0.06508366
-29.46399896	-0.06932825
-29.46199896	-0.07258859
-29.45999896	-0.07578740
-29.45799896	-0.07898622
-29.45599896	-0.08218504
-29.45399896	-0.08427657
-29.45199896	-0.08642963
-29.44999896	-0.08858268
-29.44799896	-0.09067421
-29.44599896	-0.09282726
-29.44399896	-0.09393454
-29.44199896	-0.09498031
-29.43999896	-0.09602609
-29.43799896	-0.09713337
-29.43599896	-0.09817913
-29.43399896	-0.09922490
-29.43199896	-0.09922490
-29.42999896	-0.10033220
-29.42799896	-0.10137790
-29.42599896	-0.10137790
-29.42399896	-0.10137790
-29.42199896	-0.10248520
-29.41999896	-0.10248520
