Time	Channel A
(us)	(V)

-26.35199962	-0.06834400
-26.34999962	-0.06834400
-26.34799962	-0.06834400
-26.34599962	-0.06834400
-26.34399962	-0.06834400
-26.34199962	-0.06834400
-26.33999962	-0.06834400
-26.33799962	-0.06834400
-26.33599962	-0.06834400
-26.33399962	-0.06834400
-26.33199962	-0.06834400
-26.32999962	-0.06834400
-26.32799962	-0.06834400
-26.32599962	-0.06834400
-26.32399962	-0.06834400
-26.32199962	-0.06834400
-26.31999962	-0.06834400
-26.31799962	-0.06834400
-26.31599962	-0.06834400
-26.31399962	-0.06834400
-26.31199962	-0.06834400
-26.30999962	-0.06834400
-26.30799962	-0.06834400
-26.30599962	-0.06834400
-26.30399962	-0.06834400
-26.30199962	-0.06834400
-26.29999962	-0.06834400
-26.29799962	-0.06834400
-26.29599962	-0.06834400
-26.29399962	-0.06834400
-26.29199962	-0.06834400
-26.28999962	-0.06834400
-26.28799962	-0.06834400
-26.28599962	-0.06834400
-26.28399962	-0.06834400
-26.28199962	-0.06834400
-26.27999962	-0.06834400
-26.27799962	-0.06834400
-26.27599962	-0.06834400
-26.27399962	-0.06834400
-26.27199962	-0.06834400
-26.26999962	-0.06834400
-26.26799962	-0.06834400
-26.26599962	-0.06834400
-26.26399962	-0.06834400
-26.26199962	-0.06834400
-26.25999963	-0.06834400
-26.25799963	-0.06834400
-26.25599963	-0.06834400
-26.25399963	-0.06834400
-26.25199963	-0.06834400
-26.24999963	-0.06834400
-26.24799963	-0.06834400
-26.24599963	-0.06834400
-26.24399963	-0.06834400
-26.24199963	-0.06834400
-26.23999963	-0.06834400
-26.23799963	-0.06834400
-26.23599963	-0.06834400
-26.23399963	-0.06834400
-26.23199963	-0.06834400
-26.22999963	-0.06834400
-26.22799963	-0.06834400
-26.22599963	-0.06834400
-26.22399963	-0.06834400
-26.22199963	-0.06834400
-26.21999963	-0.06834400
-26.21799963	-0.06834400
-26.21599963	-0.06834400
-26.21399963	-0.06834400
-26.21199963	-0.06834400
-26.20999963	-0.06834400
-26.20799963	-0.06834400
-26.20599963	-0.06834400
-26.20399963	-0.06834400
-26.20199963	-0.06834400
-26.19999963	-0.06834400
-26.19799963	-0.06834400
-26.19599963	-0.06834400
-26.19399963	-0.06834400
-26.19199963	-0.06834400
-26.18999963	-0.06834400
-26.18799963	-0.06834400
-26.18599963	-0.06834400
-26.18399963	-0.06834400
-26.18199963	-0.06834400
-26.17999963	-0.06834400
-26.17799963	-0.06834400
